Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
42,3.0,0.0,765.0,6.0,48.0,6369.0,0.0,85.42200001000003,85.42200001000003,0.0,670.5185480117798,,,,,,,,,,,,,,,,39.701128659245164,26.427698733209258,85.2399585882945,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3.0,0.0,830.0,7.0,65.0,6434.0,0.0,114.6890000100001,114.6890000100001,0.0,675.2953882217407,,,,,,,,,,,,,,,,54.20028406159451,34.612777796531695,114.34813297689738,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3.0,0.0,1000.0,8.0,170.0,6604.0,0.0,307.29499999999945,307.29499999999945,0.0,687.1845464706421,,,,,,,,,,,,,,,,142.86937431437175,93.25565447973136,304.8967103076867,0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3.0,0.0,1171.0,9.0,171.0,6775.0,0.0,330.9209999999996,330.9209999999996,0.0,699.1137623786926,,,,,,,,,,,,,,,,166.24801934407466,93.44758921544523,328.11096996621313,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3.0,0.0,1343.0,10.0,172.0,6947.0,0.0,318.4219999999997,318.4219999999997,0.0,711.1006586551666,,,,,,,,,,,,,,,,152.80925322854424,90.03223936040031,315.82526337080645,0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3.0,0.0,1504.0,11.0,161.0,7108.0,0.0,308.5350000099997,308.5350000099997,0.0,722.3377475738525,,,,,,,,,,,,,,,,150.96191680442143,90.64173193437281,306.13512666211534,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4.0,0.0,0.0,0.0,176.0,7284.0,0.0,350.42599999999925,350.42599999999925,0.0,800.5094275474548,,,,67.525795,2.0931816,71.81269,64.811134,,,,,171.30865,95.90862,525.0409,34.93701,174.50421867865464,102.79431214422921,347.38946469772594,1.626,0.96991855,0.0,0.96991855,0.96991855,6.767073673905717e-17,0.9999999999999999,2.410880913233266,-4.131676210160788,455.4946,57.08313,532.1931,54.99212,67.573074,2.0720758,71.8226,64.87978,-0.037550043,0.021730294,-0.00024794415,-0.061394054,423.3905363054519,128.9823727611349,525.6074093906635,9.999993721976352e-09,0.014881283,0.0,0.014881283,0.014881283,1.004432,0.13758034,2.133799,0.28126258,1.0016487,0.09842578,1.2,0.8
49,4.0,0.0,174.0,1.0,174.0,7458.0,0.0,352.9239999999993,352.9239999999993,0.0,816.9632060527802,,,,,,,,,,,,,,,,174.25034268702007,99.39128942907908,349.92703674092036,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4.0,0.0,345.0,2.0,171.0,7629.0,0.0,339.54599999999937,339.54599999999937,0.0,828.9153096675873,,,,,,,,,,,,,,,,170.01210920074965,98.7692837774001,336.6724601786854,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4.0,0.0,516.0,3.0,171.0,7800.0,0.0,347.17099999999925,347.17099999999925,0.0,840.8190109729767,,,,,,,,,,,,,,,,168.99909042180346,98.38826130296091,344.31554710849844,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4.0,0.0,630.0,4.0,114.0,7914.0,0.0,219.61300001000038,219.61300001000038,0.0,848.8920793533325,,,,,,,,,,,,,,,,105.56084159672632,64.62601377932593,218.4314495607535,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4.0,0.0,676.0,5.0,46.0,7960.0,0.0,82.17000001000001,82.17000001000001,0.0,852.4335134029388,,,,,,,,,,,,,,,,39.06409124354953,23.889147318653794,81.99850504078378,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4.0,0.0,815.0,6.0,139.0,8099.0,0.0,241.63800001000044,241.63800001000044,0.0,862.2556354999542,,,,,,,,,,,,,,,,114.73686440541499,75.51841237357397,240.067164311196,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4.0,0.0,990.0,7.0,175.0,8274.0,0.0,350.79999999999933,350.79999999999933,0.0,874.4404256343842,,,,,,,,,,,,,,,,175.40368007882665,100.78433268153393,347.76521211983277,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4.0,0.0,1152.0,8.0,162.0,8436.0,0.0,289.0369999999998,289.0369999999998,0.0,885.9775104522705,,,,,,,,,,,,,,,,129.09201272987946,84.99612930496991,286.9744068344598,0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4.0,0.0,1317.0,9.0,165.0,8601.0,0.0,314.5399999999997,314.5399999999997,0.0,897.537829875946,,,,,,,,,,,,,,,,151.98779518802658,90.0317879399974,312.06340772016966,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4.0,0.0,1480.0,10.0,163.0,8764.0,0.0,301.5379999999999,301.5379999999999,0.0,908.9245283603668,,,,,,,,,,,,,,,,156.19466333051358,88.41194827553868,299.0219291806311,0.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4.0,0.0,1622.0,11.0,142.0,8906.0,0.0,240.39100001000048,240.39100001000048,0.0,918.8776080608368,,,,,,,,,,,,,,,,113.91178490113255,69.95387874456355,238.79733239764386,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4.0,0.0,1743.0,12.0,121.0,9027.0,0.0,236.62000001000038,236.62000001000038,0.0,927.4176774024963,,,,,,,,,,,,,,,,117.00507334771768,69.0391123614544,235.22776139863268,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5.0,0.0,170.0,1.0,170.0,9197.0,0.0,332.16999999999933,332.16999999999933,0.0,1009.980961561203,,,,,,,,,,,,,,,,157.78788230193712,94.01636571963111,329.52055805667317,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5.0,0.0,340.0,2.0,170.0,9367.0,0.0,340.4199999999996,340.4199999999996,0.0,1022.1219248771667,,,,,,,,,,,,,,,,176.30892758324975,92.89038622823674,337.45649388047326,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,5.0,0.0,506.0,3.0,166.0,9533.0,0.0,319.29099999999977,319.29099999999977,0.0,1033.765521287918,,,,,,,,,,,,,,,,160.78403524421446,88.684517990341,316.65365037998436,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5.0,0.0,672.0,4.0,166.0,9699.0,0.0,334.6659999999996,334.6659999999996,0.0,1045.382068157196,,,,,,,,,,,,,,,,173.5520528529894,95.28210011042532,331.81821774441516,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5.0,0.0,847.0,5.0,175.0,9874.0,0.0,358.67499999999933,358.67499999999933,0.0,1057.6037182807922,,,,,,,,,,,,,,,,181.34387518973296,101.13939391787902,355.5370358877688,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5.0,0.0,896.0,6.0,49.0,9923.0,0.0,91.92300001000004,91.92300001000004,0.0,1061.3404531478882,,,,,,,,,,,,,,,,42.300678791706126,27.55640972539937,91.7248991738381,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5.0,0.0,942.0,7.0,46.0,9969.0,0.0,83.54500001000001,83.54500001000001,0.0,1064.9698865413666,,,,,,,,,,,,,,,,39.16548327130447,24.763332914229874,83.37317610456248,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5.0,0.0,961.0,8.0,19.0,9988.0,0.0,29.768000010000012,29.768000010000012,0.0,1066.699999332428,,,,,,,,,,,,,,,,12.548891895137507,9.526263423796257,29.7471318285821,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5.0,0.0,1130.0,9.0,169.0,10157.0,0.0,307.5439999999998,307.5439999999998,0.0,1078.4624190330505,,,,,,,,,,,,,,,,160.29932209221684,88.37155234946222,304.8654279994418,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5.0,0.0,1304.0,10.0,174.0,10331.0,0.0,332.67399999999947,332.67399999999947,0.0,1090.6141448020935,,,,,,,,,,,,,,,,169.78266536045757,96.30323198239645,329.7527568984183,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,5.0,0.0,1481.0,11.0,177.0,10508.0,0.0,317.3019999999996,317.3019999999996,0.0,1102.9143784046173,,,,,,,,,,,,,,,,154.3801522740074,89.05362752511763,314.60093139789024,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6.0,0.0,0.0,0.0,166.0,10674.0,0.0,316.9159999999995,316.9159999999995,0.0,1179.758912563324,,,,73.44849,1.9528257,76.28353,70.70034,,,,,128.51476,98.04508,385.5079,31.883162,152.63876766835313,95.26142322872151,314.4136378204877,1.626,1.0461345,0.0,1.0461345,1.0461345,-1.7256654177537346e-17,0.9999999999999999,2.513658588228348,-4.053342828954641,477.92935,47.16696,548.6324,78.41364,73.49987,1.9293464,76.297646,70.78082,-0.0410266,0.02381695,-0.0036784604,-0.069930434,444.14113331521474,125.79093565663807,544.0642539975728,9.999993721976352e-09,0.0140213,0.0,0.0140213,0.0140213,1.0058472,0.14597514,2.796194,0.29333082,1.0028995,0.10030146,1.2,0.8
73,6.0,0.0,170.0,1.0,170.0,10844.0,0.0,321.79499999999973,321.79499999999973,0.0,1195.3918149471283,,,,,,,,,,,,,,,,155.91589818555912,90.7625882841006,319.17634736558256,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6.0,0.0,333.0,2.0,163.0,11007.0,0.0,307.1620000099997,307.1620000099997,0.0,1207.103420972824,,,,,,,,,,,,,,,,152.27632388391717,91.97576092842333,304.71036696738935,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6.0,0.0,376.0,3.0,43.0,11050.0,0.0,69.41700001,69.41700001,0.0,1210.4848985671997,,,,,,,,,,,,,,,,31.37473893566058,21.971223440698754,69.28901753433013,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6.0,0.0,475.0,4.0,99.0,11149.0,0.0,200.9730000100003,200.9730000100003,0.0,1217.5757172107697,,,,,,,,,,,,,,,,96.05177223105576,58.76458428109884,200.0420916740801,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6.0,0.0,645.0,5.0,170.0,11319.0,0.0,322.0449999999997,322.0449999999997,0.0,1229.414436340332,,,,,,,,,,,,,,,,165.95437052416628,92.90847086081631,319.2557012712166,2.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,6.0,0.0,812.0,6.0,167.0,11486.0,0.0,319.7919999999996,319.7919999999996,0.0,1241.0713448524475,,,,,,,,,,,,,,,,158.5190325351257,92.10337035472722,317.1764498016439,1.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
