Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
33,3.0,0.0,110.0,3.0,43.0,1232.0,0.0,19.410969052630694,19.410969052630694,0.0,146.43625116348267,,,,,,,,,,,,,,,,12.946917773068035,6.653474536287178,19.196873801189305,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3.0,0.0,158.0,4.0,48.0,1280.0,0.0,33.07257684718476,33.07257684718476,0.0,150.14315176010132,,,,,,,,,,,,,,,,14.190834352528706,9.836747163486221,32.42384063890229,9.96005996001e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3.0,0.0,175.0,5.0,17.0,1297.0,0.0,7.801821377364843,7.801821377364843,0.0,151.7083010673523,,,,,,,,,,,,,,,,3.4381743283840787,2.5058765685293287,7.751123537319635,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3.0,0.0,302.0,6.0,127.0,1424.0,0.0,109.61971354059992,109.61971354059992,0.0,160.60610556602478,,,,,,,,,,,,,,,,51.317444721044154,31.936982331125826,103.20560366469202,9.97002999e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3.0,0.0,350.0,7.0,48.0,1472.0,0.0,37.062623825166064,37.062623825166064,0.0,164.32152724266052,,,,,,,,,,,,,,,,15.48418073099095,11.318350766829559,36.35573888896746,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3.0,0.0,399.0,8.0,49.0,1521.0,0.0,33.51822829642674,33.51822829642674,0.0,168.06120109558105,,,,,,,,,,,,,,,,14.619662635506096,10.252270565166944,32.83469952681376,9.97002999e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3.0,0.0,413.0,9.0,14.0,1535.0,0.0,6.272390375447207,6.272390375447207,0.0,169.41744899749756,,,,,,,,,,,,,,,,2.7146315045852027,1.8301599620507587,6.24062616054356,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.0,0.0,440.0,10.0,27.0,1562.0,0.0,22.539499825009123,22.539499825009123,0.0,171.81777238845825,,,,,,,,,,,,,,,,10.50900966034397,7.179570473291845,22.278034598778614,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4.0,0.0,51.0,1.0,51.0,1613.0,0.0,37.87995518279687,37.87995518279687,0.0,190.5127453804016,,,,,,,,,,,,,,,,16.268291897961877,11.298648812470178,37.08735965565647,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4.0,0.0,84.0,2.0,33.0,1646.0,0.0,27.6942147853924,27.6942147853924,0.0,193.13973999023438,,,,,,,,,,,,,,,,12.185428081500431,8.598094639608613,27.319415073776668,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4.0,0.0,131.0,3.0,47.0,1693.0,0.0,33.30501780504495,33.30501780504495,0.0,196.72460913658142,,,,,,,,,,,,,,,,13.416000729389218,10.23572033793672,32.707172943707356,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4.0,0.0,220.0,4.0,89.0,1782.0,0.0,71.8164579729195,71.8164579729195,0.0,203.14843487739563,,,,,,,,,,,,,,,,31.60230229746173,21.028646067245337,69.07292599443983,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4.0,0.0,252.0,5.0,32.0,1814.0,0.0,25.470541750362468,25.470541750362468,0.0,205.91366934776306,,,,,,,,,,,,,,,,12.751003457322282,7.789121031134203,25.087597236965124,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4.0,0.0,293.0,6.0,41.0,1855.0,0.0,27.223781026661808,27.223781026661808,0.0,209.11985969543457,,,,,,,,,,,,,,,,10.986122941335799,8.692972277556947,26.800150136203246,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4.0,0.0,312.0,7.0,19.0,1874.0,0.0,11.827645248065625,11.827645248065625,0.0,210.88975048065186,,,,,,,,,,,,,,,,4.70727121753537,3.7418163386160845,11.749957051984438,9.98001e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4.0,0.0,333.0,8.0,21.0,1895.0,0.0,5.67115159347826,5.67115159347826,0.0,213.04139304161072,,,,,,,,,,,,,,,,1.8334193236232164,1.5112631152109768,5.638288075757932,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4.0,0.0,361.0,9.0,28.0,1923.0,0.0,16.155338655638587,16.155338655638587,0.0,215.33082175254822,,,,,,,,,,,,,,,,9.473288592855585,5.472392114506419,15.905992567606239,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4.0,0.0,395.0,10.0,34.0,1957.0,0.0,24.294777345966388,24.294777345966388,0.0,217.98438453674316,,,,,,,,,,,,,,,,10.059665762874133,7.841359476116785,23.976725435464143,9.98001e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5.0,0.0,36.0,1.0,36.0,1993.0,0.0,29.030726724701257,29.030726724701257,0.0,241.6544303894043,,,,,,,,,,,,,,,,13.300768043408302,8.862104376834807,28.580479554693255,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5.0,0.0,123.0,2.0,87.0,2080.0,0.0,65.09102000670727,65.09102000670727,0.0,247.90069246292114,,,,,,,,,,,,,,,,32.346162142033776,18.848770562726358,62.33924314349384,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5.0,0.0,201.0,3.0,78.0,2158.0,0.0,41.30793270205122,41.30793270205122,0.0,253.57890343666077,,,,,,,,,,,,,,,,23.240270291480275,13.304379373519339,40.0923858946462,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5.0,0.0,227.0,4.0,26.0,2184.0,0.0,20.88091574082951,20.88091574082951,0.0,255.83763790130615,,,,,,,,,,,,,,,,9.642125149266931,6.224994309588938,20.650871358306887,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,5.0,0.0,254.0,5.0,27.0,2211.0,0.0,18.00258239140975,18.00258239140975,0.0,258.13869881629944,,,,,,,,,,,,,,,,8.481901601305593,5.775797643433038,17.791362410585084,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5.0,0.0,268.0,6.0,14.0,2225.0,0.0,7.195126483895865,7.195126483895865,0.0,259.5093455314636,,,,,,,,,,,,,,,,3.1889464915151993,2.283364556348526,7.15763887188654,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5.0,0.0,319.0,7.0,51.0,2276.0,0.0,38.38792748345477,38.38792748345477,0.0,263.3765559196472,,,,,,,,,,,,,,,,17.627948612585293,10.933556297100544,37.52642853274565,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5.0,0.0,352.0,8.0,33.0,2309.0,0.0,24.45933104700186,24.45933104700186,0.0,266.04208040237427,,,,,,,,,,,,,,,,10.922640296975361,7.251314376292393,24.123006924125807,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5.0,0.0,374.0,9.0,22.0,2331.0,0.0,13.35597668521942,13.35597668521942,0.0,267.975457906723,,,,,,,,,,,,,,,,6.37732031316429,4.3587820053564865,13.22890454287268,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5.0,0.0,405.0,10.0,31.0,2362.0,0.0,24.499727748497552,24.499727748497552,0.0,270.59791827201843,,,,,,,,,,,,,,,,11.626831629378861,7.572377776137971,24.163459427414217,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6.0,0.0,59.0,1.0,59.0,2421.0,0.0,49.47050020977879,49.47050020977879,0.0,291.82591104507446,,,,,,,,,,,,,,,,22.695593472761033,14.993333905945558,48.179639834720646,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6.0,0.0,82.0,2.0,23.0,2444.0,0.0,17.38902312414713,17.38902312414713,0.0,293.8133008480072,,,,,,,,,,,,,,,,7.7316153325391435,5.114302350771428,17.228424395894624,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6.0,0.0,126.0,3.0,44.0,2488.0,0.0,34.65824786721112,34.65824786721112,0.0,297.2423939704895,,,,,,,,,,,,,,,,15.43401871204267,9.983367027332658,34.01316420808931,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6.0,0.0,169.0,4.0,43.0,2531.0,0.0,32.608910216719686,32.608910216719686,0.0,300.5815918445587,,,,,,,,,,,,,,,,13.11584716050406,10.245877836753627,32.07700579461264,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6.0,0.0,207.0,5.0,38.0,2569.0,0.0,24.8231731526379,24.8231731526379,0.0,303.61232686042786,,,,,,,,,,,,,,,,11.034065693692686,7.992122111187266,24.428306963240825,9.99e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6.0,0.0,254.0,6.0,47.0,2616.0,0.0,27.133847920964193,27.133847920964193,0.0,307.20349287986755,,,,,,,,,,,,,,,,10.01360756312587,9.101493136120704,26.689898263761044,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6.0,0.0,276.0,7.0,22.0,2638.0,0.0,15.04605578857081,15.04605578857081,0.0,309.101909160614,,,,,,,,,,,,,,,,6.067621728234579,4.891295742781656,14.927495606155805,9.99e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6.0,0.0,311.0,8.0,35.0,2673.0,0.0,23.620112685994062,23.620112685994062,0.0,312.3797221183777,,,,,,,,,,,,,,,,10.04359139184714,7.801495902024989,23.291878866145566,9.96005996001e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6.0,0.0,372.0,9.0,61.0,2734.0,0.0,35.46220698687909,35.46220698687909,0.0,316.919148683548,,,,,,,,,,,,,,,,15.39244610440513,11.594020685604619,34.55782560011049,9.97002999e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6.0,0.0,405.0,10.0,33.0,2767.0,0.0,18.497426559431585,18.497426559431585,0.0,319.57836532592773,,,,,,,,,,,,,,,,6.8944435830579485,5.9077337829082435,18.28819811930998,9.98001e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,7.0,0.0,37.0,1.0,37.0,2804.0,0.0,21.35502155543993,21.35502155543993,0.0,338.41992449760437,,,,,,,,,,,,,,,,7.988394131709468,6.018877365645386,21.080531504070752,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,7.0,0.0,56.0,2.0,19.0,2823.0,0.0,16.539487856515805,16.539487856515805,0.0,340.1849594116211,,,,,,,,,,,,,,,,7.884857182574266,5.033323089465166,16.406081651698596,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,7.0,0.0,88.0,3.0,32.0,2855.0,0.0,15.50472364033667,15.50472364033667,0.0,342.7538514137268,,,,,,,,,,,,,,,,10.795099911946641,5.0976484534520665,15.373110619211502,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
